#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,300,0,0,0
2,600,0,0,0
3,900,0,0,0
4,1200,0,0,0
5,1500,0,0,0
6,1800,0,0,0
7,2100,0,0,0
8,2400,0.433759117396951,0,1
9,2700,0.417649393237437,0.435219428505512,1
10,3000,0,0.435219428505512,0
11,3300,0,0.435219428505512,0
12,3600,0,0.435219428505512,0
13,3900,0,0.435219428505512,0
14,4200,0,0.435219428505512,0
15,4500,0,0.435219428505512,0
16,4800,0,0.435219428505512,0
17,5100,0,0.435219428505512,0
18,5400,0,0.435219428505512,0
19,5700,0,0.435219428505512,0
20,6000,0.43834783587,0.47292677393893,1
21,6300,0,0.47292677393893,0
22,6600,0.38284437062283,0.500398732993192,1
23,6900,0,0.500398732993192,0
24,7200,0.450263954700524,0.519445620769487,1
25,7500,0.462783160921612,0.521425130556486,2
26,7800,0,0.521425130556486,0
27,8100,0,0.521425130556486,0
28,8400,0.470870502290749,0.521937935054224,2
29,8700,0.413148738577319,0.521937935054224,1
30,9000,0.543559091103288,0.550023145043872,4
31,9300,0.430358735575809,0.550023145043872,1
32,9600,0.472294152684806,0.550023145043872,2
33,9900,0.426371044054598,0.550023145043872,3
34,10200,0.543559091103288,0.550023145043872,2
35,10500,0.463796422909033,0.550023145043872,2
36,10800,0.629138937486167,0.550023145043872,3
37,11100,0.510725642002413,0.550023145043872,5
38,11400,0.577389910727445,0.550023145043872,4
39,11700,0.488030869607188,0.550023145043872,2
40,12000,0.593117620206229,0.550023145043872,4
41,12300,0.564224492229087,0.645918486512756,3
42,12600,0.671198433411004,0.645918486512756,9
43,12900,0.628132385510977,0.645918486512756,7
44,13200,0.618089920762874,0.645918486512756,5
45,13500,0.638948575952535,0.645918486512756,7
46,13800,0.627810856621098,0.645918486512756,5
47,14100,0.637604226536836,0.645918486512756,8
48,14400,0.635302075457919,0.645918486512756,5
49,14700,0.669841214907604,0.672483366751553,8
50,15000,0.645841066570713,0.672483366751553,9
51,15300,0.673315243916606,0.677726258503957,13
52,15600,0.651458481220694,0.677726258503957,12
53,15900,0.667815528435012,0.677726258503957,11
54,16200,0.660194877301908,0.677726258503957,7
55,16500,0.683051774424461,0.677726258503957,11
56,16800,0.677977018579897,0.677726258503957,11
57,17100,0.680176616966158,0.677726258503957,15
58,17400,0.682706809592885,0.677726258503957,9
59,17700,0.682170468560669,0.677726258503957,10
60,18000,0.683051774424461,0.683051774424461,16
61,18300,0.685080869108076,0.683051774424461,18
62,18600,0.682763366963439,0.683051774424461,15
63,18900,0.684712932795464,0.683051774424461,13
64,19200,0.685821081173498,0.683051774424461,17
65,19500,0.685830297317914,0.683051774424461,17
66,19800,0.686196738934459,0.683051774424461,17
67,20100,0.686298708891063,0.683051774424461,18
68,20400,0.68610862074648,0.683051774424461,19
69,20700,0.686677362932159,0.683051774424461,15
70,21000,0.686652731443047,0.683051774424461,16
71,21300,0.68634447965313,0.683051774424461,14
72,21600,0.686664158635563,0.683051774424461,17
73,21900,0.686436069393265,0.683051774424461,15
74,22200,0.68673828040691,0.683051774424461,16
75,22500,0.68675932324786,0.683051774424461,16
76,22800,0.686776701672645,0.683051774424461,18
77,23100,0.686791076929294,0.683051774424461,17
78,23400,0.686754811607656,0.683051774424461,13
79,23700,0.686855266204192,0.683051774424461,16
80,24000,0.686883252149456,0.683051774424461,16
81,24300,0.686862147316503,0.683051774424461,15
82,24600,0.686827624658944,0.683051774424461,13
83,24900,0.686866190572685,0.683051774424461,12
84,25200,0.686875248293094,0.683051774424461,15
