#Gen,#Eval,HyperVolume using each gen,HyperVolume using whole gen,Num of feasible individuals
1,153,0.474499437681789,0,1
2,306,0,0,0
3,459,0,0,0
4,612,0.481051821561544,0.557892300428757,2
5,765,0,0.557892300428757,0
6,918,0.471825961402993,0.560398268487739,2
7,1071,0,0.560398268487739,0
8,1224,0,0.560398268487739,0
9,1377,0,0.560398268487739,0
10,1530,0,0.560398268487739,0
11,1683,0,0.560398268487739,0
12,1836,0.415174879872252,0.560398268487739,1
13,1989,0.414881429994146,0.560398268487739,1
14,2142,0,0.560398268487739,0
15,2295,0,0.560398268487739,0
16,2448,0.53091946421232,0.569635268343632,1
17,2601,0.414129677038531,0.570498450731785,1
18,2754,0,0.570498450731785,0
19,2907,0,0.570498450731785,0
20,3060,0.443018983451846,0.57160257565974,1
21,3213,0.430674532380238,0.57160257565974,1
22,3366,0,0.57160257565974,0
23,3519,0.519529395542592,0.573123717785018,3
24,3672,0.434572891898225,0.577760431649719,1
25,3825,0.520951392500943,0.583973389743058,3
26,3978,0,0.583973389743058,0
27,4131,0,0.583973389743058,0
28,4284,0.666656178854543,0.678103023508372,1
29,4437,0,0.678103023508372,0
30,4590,0.414329246943892,0.678103023508372,1
31,4743,0.489858887799579,0.678103023508372,1
32,4896,0.429141156765917,0.678103023508372,2
33,5049,0.585279339734531,0.678277680473065,7
34,5202,0.524985066579422,0.678277680473065,2
35,5355,0.541699227487565,0.678277680473065,4
36,5508,0.633147038744918,0.678277680473065,3
37,5661,0.51679681066,0.678277680473065,2
38,5814,0.634933084247866,0.678397232074845,5
39,5967,0.535598117178134,0.678397232074845,9
40,6120,0.654081571688182,0.678397232074845,4
41,6273,0.598150346916976,0.678397232074845,9
42,6426,0.57057601705157,0.678397232074845,5
43,6579,0.524095479327415,0.678397232074845,6
44,6732,0.530964567386612,0.678397232074845,7
45,6885,0.533127680351152,0.678397232074845,10
46,7038,0.671816827348988,0.690355894858482,10
47,7191,0.588551539708464,0.690355894858482,10
48,7344,0.589054582968488,0.690806849690819,9
49,7497,0.637538432856276,0.690806849690819,10
50,7650,0.631694311516941,0.690806849690819,6
51,7803,0.638143184592571,0.690806849690819,14
52,7956,0.653363236646472,0.691197891794195,11
53,8109,0.674695973881908,0.691345257561024,14
54,8262,0.503317004732228,0.691345257561024,9
55,8415,0.535608809387964,0.691345257561024,7
56,8568,0.654382045854823,0.691350581844883,13
57,8721,0.669366366926273,0.691350581844883,15
58,8874,0.632404327929301,0.691350581844883,8
59,9027,0.66184006800057,0.692981803204021,15
60,9180,0.68254590590562,0.69978021000312,12
61,9333,0.679248473151761,0.69978021000312,14
62,9486,0.644336936614177,0.69978021000312,10
63,9639,0.650853471594131,0.69978021000312,13
64,9792,0.663862994947689,0.69978021000312,9
65,9945,0.659533871097378,0.69978021000312,10
66,10098,0.676439760546697,0.701087617655243,21
67,10251,0.65816675878098,0.701087617655243,13
68,10404,0.680671465533727,0.701323591075729,14
69,10557,0.673231071853708,0.701333126849443,12
70,10710,0.703179930094701,0.703559445332628,14
71,10863,0.663601772384352,0.703559445332628,12
72,11016,0.69432923237797,0.703559445332628,15
73,11169,0.68871835701719,0.704741325349046,20
74,11322,0.692305559379047,0.704772272892615,17
75,11475,0.668707418386594,0.704772272892615,19
76,11628,0.702854737715424,0.705357735260263,20
77,11781,0.700065637552934,0.705397323738714,21
78,11934,0.698359170564514,0.705437219870486,20
79,12087,0.703234931276867,0.706296695140224,15
80,12240,0.689664264227631,0.706311754406472,16
81,12393,0.702722316532167,0.706313138791468,17
82,12546,0.69687343223454,0.706313138791468,17
83,12699,0.725088890291461,0.727361659587337,22
84,12852,0.698334314335697,0.727361659587337,20
85,13005,0.702543646727184,0.727361884735753,17
86,13158,0.703220504698061,0.727361889251301,20
87,13311,0.723732101136413,0.72749801363727,24
88,13464,0.706587535998427,0.729375000610017,21
89,13617,0.706156800900057,0.729375000610017,27
90,13770,0.704381496876304,0.729375000610017,24
91,13923,0.70405524964045,0.729375000610017,23
92,14076,0.706812324531662,0.72939569431833,23
93,14229,0.706771831494229,0.72941613092271,20
94,14382,0.708845215947759,0.729819488394374,24
95,14535,0.701773733086066,0.729819488394374,25
96,14688,0.703312993231334,0.729852917437655,23
97,14841,0.80138307841044,0.806518772907507,25
98,14994,0.697188472371798,0.806518772907507,25
99,15147,0.811186392222329,0.841478202327436,16
100,15300,0.706610774656037,0.841536300939987,27
101,15453,0.800946550074136,0.8415427282195,21
102,15606,0.725398409150595,0.8415427282195,21
103,15759,0.702642785611261,0.8415427282195,10
104,15912,0.827413122543756,0.841591804434382,20
105,16065,0.703731806697249,0.841591804434382,15
106,16218,0.702104812178124,0.841591804434382,9
107,16371,0.843473186417563,0.848415444181036,12
108,16524,0.816247262846459,0.849395607200888,15
109,16677,0.817176952776592,0.849395607200888,9
110,16830,0.877535713050214,0.881232081235646,17
111,16983,0.818962873671542,0.881232081235646,18
112,17136,0.877332676214815,0.881424363664371,13
113,17289,0.868589049726875,0.884971421789573,18
114,17442,0.850251344344872,0.885016364099725,12
115,17595,0.863477803092169,0.885016364099725,15
116,17748,0.882894937878156,0.887146812164393,18
117,17901,0.884348911187356,0.888883300586975,21
118,18054,0.883446377540744,0.889067690145609,18
119,18207,0.88549473086264,0.889151199696977,25
120,18360,0.88304771035123,0.889151199696977,28
121,18513,0.882348320682691,0.889472192966185,23
122,18666,0.882977781320941,0.88947692821009,31
123,18819,0.885501394787098,0.890449512716664,34
124,18972,0.886594831991609,0.890863594950802,21
125,19125,0.886874435939985,0.890864592702996,36
126,19278,0.880374923633288,0.890866126131989,26
127,19431,0.885962389714647,0.890868190914393,38
128,19584,0.886036669132723,0.890874806079735,31
129,19737,0.882086091704072,0.890885438498069,33
130,19890,0.886716402219656,0.890888680483891,42
131,20043,0.888945717083935,0.890892725732742,43
132,20196,0.887274134075936,0.89089568188107,38
133,20349,0.885028060800487,0.890900464859357,37
134,20502,0.890538313705121,0.891112475356057,39
135,20655,0.886495018567575,0.891116096975135,37
136,20808,0.887682833537687,0.891169774736291,40
137,20961,0.886917607409214,0.891175117990795,52
138,21114,0.888014457960438,0.891395900116183,34
139,21267,0.887474346400875,0.891397754391985,43
140,21420,0.887412646421627,0.89139844354353,40
141,21573,0.89142552015537,0.891464083069209,52
142,21726,0.887958185227635,0.89146507013361,38
143,21879,0.887790268046318,0.89146612144296,42
144,22032,0.888295310284079,0.891507090729084,40
145,22185,0.887752993523264,0.891507910763902,44
146,22338,0.888376580578132,0.891612134025422,35
147,22491,0.887777032358879,0.891618262590021,40
148,22644,0.890850459060108,0.891618747964769,39
149,22797,0.887113811082703,0.891618849992546,33
150,22950,0.888074603533548,0.891619318282903,43
151,23103,0.887812895785849,0.891619846168453,41
152,23256,0.888302099273023,0.8916200280014,32
153,23409,0.891350267609002,0.891633309104403,51
154,23562,0.891223160966371,0.891634041155796,39
155,23715,0.888281123340775,0.891634547596167,46
156,23868,0.887665387561054,0.891635410068731,39
157,24021,0.891318787200554,0.891635746304346,44
158,24174,0.891808202814936,0.89185559216362,49
159,24327,0.891078942341184,0.891855968771322,53
160,24480,0.891051659790521,0.891857717835185,43
161,24633,0.887840094364298,0.891857971115015,51
162,24786,0.891728724305649,0.891858252162819,44
163,24939,0.888245354128443,0.891858472140097,43
164,25092,0.888599591266604,0.891950531071384,42
165,25245,0.888060736593815,0.891950640984739,36
166,25398,0.888575579432517,0.891951315440629,47
167,25551,0.888507452463787,0.89195154044484,52
168,25704,0.891738945871434,0.891975713139147,45
169,25857,0.888370945884193,0.891975973775453,51
170,26010,0.888341878686533,0.89197609130641,47
171,26163,0.891896495403786,0.891983734294077,52
172,26316,0.888356685334362,0.891985015139495,43
173,26469,0.891052039289665,0.891985364961966,54
174,26622,0.888529020404614,0.89198541740775,43
175,26775,0.888448307215234,0.89198552594767,56
176,26928,0.888352200450373,0.891985658099316,43
177,27081,0.88844125951718,0.891986281306289,44
178,27234,0.891622771115734,0.891986446965842,42
179,27387,0.891911315214029,0.892025660591626,54
180,27540,0.888443566757499,0.892025736535474,47
181,27693,0.888440264285532,0.892026054088581,56
182,27846,0.888370882088632,0.892026143041831,45
183,27999,0.88849757428688,0.892026223492461,50
184,28152,0.891878123976557,0.892090530411538,47
185,28305,0.891656180812246,0.892090552520786,41
186,28458,0.888532212932457,0.892090662475996,57
187,28611,0.888542312002583,0.892090760479322,54
188,28764,0.888625880208374,0.89209088317849,52
189,28917,0.891924512035068,0.892090972603294,35
190,29070,0.888527670889396,0.892091534990846,52
191,29223,0.888509661993474,0.892091594210142,47
192,29376,0.888582402330699,0.892091667927108,60
193,29529,0.891623897270343,0.892091730522881,68
194,29682,0.891967508457694,0.892092217603078,32
195,29835,0.888584082943641,0.892092306225489,38
196,29988,0.888591339922793,0.892092395162603,48
